uniprot_id	source_db	source_mlo	unified_mlo	source_role	unified_role	dataset_active	evidence	organism
P80667	PhaSepDB	NotInformed	NotInformed	driver	driver	1	37165185	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)
P53112	PhaSepDB	NotInformed	NotInformed	driver	driver	1	37165185	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)
P35056	PhaSepDB	NotInformed	NotInformed	driver	driver	1	37165185	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)
Q8IJC7	PhaSepDB	NotInformed	NotInformed	driver	driver	1	38150475	Plasmodium falciparum (isolate 3D7)
O15067	PhaSepDB	Purinosome	purinosome	driver	driver	1	35307352	Homo sapiens
Q9TZL8	PhaSepDB	NotInformed	NotInformed	driver	driver	1	32853565	Caenorhabditis elegans
P16861	PhaSepDB	Glycolytic body	glycolytic_body	driver	driver	1	32298230	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)
P16862	PhaSepDB	Glycolytic body	glycolytic_body	driver	driver	1	32298230	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)
P08237	PhaSepDB	NotInformed	NotInformed	driver	driver	1	39622827	Homo sapiens
A0A024WF06	PhaSepDB	NotInformed	NotInformed	driver	driver	1	38150475	Plasmodium falciparum Tanzania
Q8BX10	PhaSepDB	NotInformed	NotInformed	driver	driver	1	38409220	Mus musculus
P00560	PhaSepDB	NotInformed	NotInformed	driver	driver	1	38515267	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)
Q9TZQ3	PhaSepDB	P granule	p_granule	driver	driver	1	34507991;37505984;35801939;32245789;19460965;30500534;30833787;39354132;31975687;30173914	Caenorhabditis elegans
Q9TZQ3	PhaSepDB	RNP granules	cytoplasmic_rnp_granule	driver	driver	1	35801939;32245789	Caenorhabditis elegans
Q9TZQ3	PhaSepDB	Nuage	nuage	driver	driver	1	32245789;24176641	Caenorhabditis elegans
G5EBV6	PhaSepDB	P granule	p_granule	driver	driver	1	27594427;30173914;30833787;34106046;27320918;34516789;35293953;34507991	Caenorhabditis elegans
P36871	PhaSepDB	P-body	p_body	driver	driver	1	38459060	Homo sapiens
P06401	PhaSepDB	Nuclear body	nuclear_body	driver	driver	1	18931262	Homo sapiens
P06401	PhaSepDB	Transcriptional condensate	transcriptional_condensate	driver	driver	1	35881789	Homo sapiens
